Sales Region,Sales Country,Sale Completed,Sale Notes,Item Type,Item Code,Item Description,Sale Channel,Order Priority,Order Date (mm/dd/yy),Order #,Order Ship Date,Order Units Sold,Order Unit Price,Order Unit Cost,Total Revenue,Total Cost,Total Profit,Company,Employee
Middle East and North Africa,Libya,Y,"LoremIpsum",Cosmetics,1031422,"Lorem ipsum",Offline,m,10/18/14,686800706,10/31/14,8446,437.2,263.33,3692591.2,2224085.18,1468506.02,"Benton John B Jr,http://www.bentonjohnbjr.com,504-621-8927,504-845-1427,6649 N Blue Gum St,New Orleans,Orleans,LA,70116,United States,US","850297,Ms.,Shawna,W,Buck,F,shawna.buck@gmail.com,12/12/71,6:34:47 AM,45.66,44,12/18/10,Q4,H2,2010,12,December,Dec,18,Saturday,Sat,6.61,119090,702-771-7149,Las Vegas,Clark,Las Vegas,NV,89128,West,swbuck,ja8?k3BTF^]o@<&"
North America,Canada,Yes,na,Vegetables,1031423,"LoremIpsum.",Online,M,11/7/11,185941302,12/8/11,3018,154.06,90.93,464953.08,274426.74,190526.34,"Chanay Jeffrey A Esq,http://www.chanayjeffreyaesq.com,810-292-9388,810-374-9840,4 B Blue Ridge Blvd,Brighton,Livingston,MI,48116,United States,US","304721,Mr.,Nathaniel,Z,Burke,M,nathaniel.burke@walmart.com,10/31/93,2:02:38 AM,23.76,52,4/25/17,Q2,H1,2017,4,April,Apr,25,Tuesday,Tue,0.26,117991,231-765-6923,Irons,Lake,Irons,MI,49644,Midwest,nzburke,tPA@4Wh9Ja$+Ln"
Middle East and North Africa,Libya,yes,NA,Baby Food,1031424,"LoremIpsum.",Offline,C,10/31/16,246222341,12/9/16,1517,255.28,159.42,387259.76,241840.14,145419.62,"Chemel James L Cpa,http://www.chemeljameslcpa.com,856-636-8749,856-264-4130,8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,8014,United States,US","412317,Drs.,Elisabeth,W,Foster,F,elisabeth.foster@gmail.com,11/26/94,3:48:27 PM,22.68,42,3/27/17,Q1,H1,2017,3,March,Mar,27,Monday,Mon,0.34,161045,270-749-4774,Lexington,Fayette,Lexington,KY,40501,South,ewfoster,5D.B4IGNkWJfG<~"
Asia,Japan,YES,n/a,Cereal,1031425,"LoremIpsum.",Offline,C,4/10/10,161442649,5/12/10,3322,205.7,117.11,683335.4,389039.42,294295.98,"Feltz Printing Service,http://www.feltzprintingservice.com,907-385-4412,907-921-2010,639 Main St,Anchorage,Anchorage,AK,99501,United States,US","621375,Mrs.,Briana,C,Lancaster,F,briana.lancaster@yahoo.com,11/24/75,9:44:16 PM,41.7,43,2/25/03,Q1,H1,2003,2,February,Feb,25,Tuesday,Tue,14.43,142616,219-623-8216,Munster,Lake,Munster,IN,46321,Midwest,bclancaster,I%?JDM;pW"
Sub-Saharan Africa,Chad,true,N/A,Fruits,1031426,"LoremIpsum.",Offline,H,8/16/11,645713555,8/31/11,9845,9.33,6.92,91853.85,68127.4,23726.45,"Printing Dimensions,http://www.printingdimensions.com,513-570-1893,513-549-4561,34 Center St,Hamilton,Butler,OH,45011,United States,US","787549,Hon.,Estella,L,Potter,F,estella.potter@gmail.com,3/13/95,9:30:28 PM,22.39,58,10/11/16,Q4,H2,2016,10,October,Oct,11,Tuesday,Tue,0.79,135706,907-677-8486,Fairbanks,Fairbanks North Star,Fairbanks,AK,99709,West,elpotter,j4jkEXfC&Rh"
Europe,Armenia,TRUE,"LoremIpsum",Cereal,1031427,"LoremIpsum.",Online,H,11/24/14,683458888,12/28/14,9528,205.7,117.11,1959909.6,1115824.08,844085.52,"Chapman Ross E Esq,http://www.chapmanrosseesq.com,419-503-2484,419-800-6759,3 Mcauley Dr,Ashland,Ashland,OH,44805,United States,US","520092,Mr.,Lamont,L,Woods,M,lamont.woods@hotmail.com,10/13/91,7:19:41 AM,25.81,59,11/27/14,Q4,H2,2014,11,November,Nov,27,Thursday,Thu,2.67,173027,236-597-8196,Purcellville,Loudoun,Purcellville,VA,20134,South,llwoods,8tf/YU}>s"
Sub-Saharan Africa,Eritrea,No,,Cereal,1031428,"LoremIpsum.",Online,H,3/4/15,679414975,4/17/15,2844,205.7,117.11,585010.8,333060.84,251949.96,"Morlong Associates,http://www.morlongassociates.com,773-573-6914,773-924-8565,7 Eads St,Chicago,Cook,IL,60632,United States,US","795934,Ms.,Melinda,L,Lopez,F,melinda.lopez@hotmail.com,9/15/84,1:31:34 PM,32.89,55,11/22/05,Q4,H2,2005,11,November,Nov,22,Tuesday,Tue,11.69,41287,210-396-1493,Stowell,Chambers,Stowell,TX,77661,South,mllopez,hf*&Gcb["
Europe,Montenegro,NO,,Clothes,1031429,"LoremIpsum.",Offline,M,5/17/12,208630645,6/28/12,7299,109.28,35.84,797634.72,261596.16,536038.56,"Commercial Press,http://www.commercialpress.com,408-752-3500,408-813-1105,7 W Jackson Blvd,San Jose,Santa Clara,CA,95111,United States,US","159108,Mrs.,Shanna,U,Silva,F,shanna.silva@gmail.com,6/19/58,12:42:34 PM,59.15,48,10/23/99,Q4,H2,1999,10,October,Oct,23,Saturday,Sat,17.78,85833,236-373-6712,Herndon,Fairfax,Herndon,VA,20171,South,susilva,oudj2Bq4vc2_{PU"
Central America and the Caribbean,Jamaica,no,,Vegetables,1031430,"LoremIpsum.",Online,H,1/29/15,266467225,3/7/15,2428,154.06,90.93,374057.68,220778.04,153279.64,"Truhlar And Truhlar Attys,http://www.truhlarandtruhlarattys.com,605-414-2147,605-794-4895,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,57105,United States,US","330816,Ms.,Jasmine,J,Freeman,F,jasmine.freeman@gmail.com,8/31/61,5:28:26 AM,55.95,55,2/1/83,Q1,H1,1983,2,February,Feb,1,Tuesday,Tue,34.51,154216,423-796-1535,Ocoee,Polk,Ocoee,TN,37361,South,jjfreeman,Q.8<Q>K*H\*6f"
Australia and Oceania,Fiji,n,,Vegetables,1031431,"LoremIpsum.",Offline,H,12/24/13,118598544,1/19/14,4800,154.06,90.93,739488,436464,303024,"King Christopher A Esq,http://www.kingchristopheraesq.com,410-655-8723,410-804-4694,228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,21224,United States,US","532002,Ms.,Madge,V,Sargent,F,madge.sargent@aol.com,10/2/81,5:09:07 PM,35.84,58,4/13/06,Q2,H1,2006,4,April,Apr,13,Thursday,Thu,11.3,133003,217-910-0644,Springfield,Sangamon,Springfield,IL,62712,Midwest,mvsargent,bc\&B81h"
Sub-Saharan Africa,Togo,FALSE,,Clothes,1094435,"LoremIpsum.",Online,M,12/29/15,451010930,1/19/16,3012,109.28,35.84,329151.36,107950.08,221201.28,"Dorl James J Esq,http://www.dorljamesjesq.com,215-874-1229,215-422-8694,2371 Jerrold Ave,Kulpsville,Montgomery,PA,19443,United States,US","612850,Ms.,Bethany,Z,Cline,F,bethany.cline@yahoo.ca,10/1/86,5:22:21 AM,30.84,48,4/19/08,Q2,H1,2008,4,April,Apr,19,Saturday,Sat,9.28,154836,215-970-5881,Montgomery,Lycoming,Montgomery,PA,17752,Northeast,bzcline,6wvl^0+zl.b/1"
Europe,Montenegro,false,,Snacks,1094436,"LoremIpsum.",Offline,M,2/27/10,220003211,3/18/10,2694,152.58,97.44,411050.52,262503.36,148547.16,"Rangoni Of Florence,http://www.rangoniofflorence.com,631-335-3414,631-677-3675,37275 StRt 17m M,Middle Island,Suffolk,NY,11953,United States,US","483751,Prof.,Reid,F,Randolph,M,reid.randolph@gmail.com,1/20/89,11:39:31 PM,28.54,78,4/8/17,Q2,H1,2017,4,April,Apr,8,Saturday,Sat,0.3,124757,209-996-8902,Pacoima,Los Angeles,Pacoima,CA,91331,West,rfrandolph,Uc@^[]cqnZs"
